value_name,value_index,bit_index,bit_length,value_type,magnification,determine,remark,十六进制地址
第一套06时区起始日期,24586,0,16,int,1,,16位有符号,600AH
第一套06时区日时段表号,24587,0,16,int,1,,16位有符号,600BH
第一套07时区起始日期,24588,0,16,int,1,,16位有符号,600CH
第一套07时区日时段表号,24589,0,16,int,1,,16位有符号,600DH
第一套08时区起始日期,24590,0,16,int,1,,16位有符号,600EH
第一套08时区日时段表号,24591,0,16,int,1,,16位有符号,600FH
第一套09时区起始日期,24592,0,16,int,1,,16位有符号,6010H
第一套09时区日时段表号,24593,0,16,int,1,,16位有符号,6011H
第一套10时区起始日期,24594,0,16,int,1,,16位有符号,6012H
第一套10时区日时段表号,24595,0,16,int,1,,16位有符号,6013H
第一套11时区起始日期,24596,0,16,int,1,,16位有符号,6014H
第一套11时区日时段表号,24597,0,16,int,1,,16位有符号,6015H
第一套12时区起始日期,24598,0,16,int,1,,16位有符号,6016H
第一套12时区日时段表号,24599,0,16,int,1,,16位有符号,6017H
第一套13时区起始日期,24600,0,16,int,1,,16位有符号,6018H
第一套13时区日时段表号,24601,0,16,int,1,,16位有符号,6019H
第一套14时区起始日期,24602,0,16,int,1,,16位有符号,601AH
第一套14时区日时段表号,24603,0,16,int,1,,16位有符号,601BH
第一套第1日01时段起始时间,24604,0,16,int,1,,16位有符号,601CH
第一套第1日01时段费率号,24605,0,16,int,1,,16位有符号,601DH
第一套第1日02时段起始时间,24606,0,16,int,1,,16位有符号,601EH
第一套第1日02时段费率号,24607,0,16,int,1,,16位有符号,601FH
第一套第1日03时段起始时间,24608,0,16,int,1,,16位有符号,6020H
第一套第1日03时段费率号,24609,0,16,int,1,,16位有符号,6021H
第一套第1日04时段起始时间,24610,0,16,int,1,,16位有符号,6022H
第一套第1日04时段费率号,24611,0,16,int,1,,16位有符号,6023H
第一套第1日05时段起始时,24612,0,16,int,1,,16位有符号,6024H
第一套第1日05时段费率号,24613,0,16,int,1,,16位有符号,6025H
第一套第1日06时段起始时间,24614,0,16,int,1,,16位有符号,6026H
第一套第1日06时段费率号,24615,0,16,int,1,,16位有符号,6027H
第一套第1日07时段起始时间,24616,0,16,int,1,,16位有符号,6028H
第一套第1日07时段费率号,24617,0,16,int,1,,16位有符号,6029H
第一套第1日08时段起始时间,24618,0,16,int,1,,16位有符号,602AH
第一套第1日08时段费率号,24619,0,16,int,1,,16位有符号,602BH
第一套第1日09时段起始时间,24620,0,16,int,1,,16位有符号,602CH
第一套第1日09时段费率号,24621,0,16,int,1,,16位有符号,602DH
莞一套第1日10时段起始时间,24622,0,16,int,1,,16位有符号,602EH
第一套第1日10时段费率号,24623,0,16,int,1,,16位有符号,602FH
莞一套第1日11时段起始时间,24624,0,16,int,1,,16位有符号,6030H
莞一套第1日11时段费率号,24625,0,16,int,1,,16位有符号,6031H
莞一套第1日12时段起始时间,24626,0,16,int,1,,16位有符号,6032H
莞一套第1日12时段费率号,24627,0,16,int,1,,16位有符号,6033H
莞一套第1日13时段起始时,24628,0,16,int,1,,16位有符号,6034H
莞一套第1日13时段费率号,24629,0,16,int,1,,16位有符号,6035H
莞一套第1日14时段起始时间,24630,0,16,int,1,,16位有符号,6036H
第一套第1日14时段费率号,24631,0,16,int,1,,16位有符号,6037H
