value_name,value_index,bit_index,bit_length,value_type,magnification,determine,remark
A÷·Ω«∂»,0,0,16,float-dcba,1,,
B÷·Ω«∂»,2,0,16,float-dcba,1,,
Œ¬∂»,4,0,16,float-dcba,1,,
