value_name,value_index,bit_index,bit_length,value_type,magnification,determine,remark
1ºÅÌ½²âÆ÷Å¨¶È,0,0,16,int,1,,
2ºÅÌ½²âÆ÷Å¨¶È,2,0,16,int,1,,
3ºÅÌ½²âÆ÷Å¨¶È,4,0,16,int,1,,
4ºÅÌ½²âÆ÷Å¨¶È,6,0,16,int,1,,
5ºÅÌ½²âÆ÷Å¨¶È,8,0,16,int,1,,
6ºÅÌ½²âÆ÷Å¨¶È,10,0,16,int,1,,
7ºÅÌ½²âÆ÷Å¨¶È,12,0,16,int,1,,
8ºÅÌ½²âÆ÷Å¨¶È,14,0,16,int,1,,
